"","trait","aic.w.bm","aic.w.ou","aic.w.eb","model.used","reml.sigsq","var.con","slope.con.var","slope.con.asr","slope.con.nh","ks.dstat"
"Juncaceae","sla","0.557999445330607","0.236724333563362","0.205276221106031","BM","0.011988011988012","0.043956043956044","0.889110889110889","0.013986013986014","0.559440559440559","0.473526473526474"
"Salicaceae","sla","0.576116884765826","0.211941557617089","0.211941557617086","BM","0","0","0.763236763236763","0.155844155844156","0","0.453546453546454"
"Fagaceae","sla","0.296569073845955","0.594329457806722","0.109101468347323","OU","0","0","0.767232767232767","0.435564435564436","0.867132867132867","0.519480519480519"
"Betulaceae","sla","0.573668298918728","0.215290972318631","0.211040728762641","BM","0","0","0.799200799200799","0.785214785214785","0.615384615384615","0.629370629370629"
"Rosaceae","sla","0.154200105043916","0.789073875146851","0.0567260198092322","OU","0","0","0.547452547452547","0","0.341658341658342","0.381618381618382"
"Fabaceae","sla","0.215549971037438","0.705154485332161","0.079295543630401","OU","0","0","0.01998001998002","0.01998001998002","0.033966033966034","0.513486513486514"
"Amaranthaceae","sla","0.000105548845988492","0.999855622154402","3.88289996089794e-05","OU","0.003996003996004","0.047952047952048","0.681318681318681","0","0.587412587412587","0.785214785214785"
"Primulaceae","sla","0.555462368541223","0.2401951233636","0.204342508095177","BM","0","0.001998001998002","0.255744255744256","0.643356643356643","0.599400599400599","0.805194805194805"
"Asteraceae","sla","2.87158924672657e-16","1","1.05637767325137e-16","OU","0","0","0.22977022977023","0","0.645354645354645","0.327672327672328"
"Boraginaceae","sla","0.549941904225851","0.247746064092561","0.202312031681587","BM","0.001998001998002","0.027972027972028","0.747252747252747","0","0.395604395604396","0.907092907092907"
